tomo_id,patch_id,has_motor
tomo_003acc,patch_120_1008_1368.pt,False
tomo_003acc,patch_120_1512_1368.pt,False
tomo_003acc,patch_320_216_648.pt,False
tomo_00e047,patch_120_432_504.pt,True
tomo_00e047,patch_120_504_504.pt,True
tomo_00e047,patch_140_288_432.pt,True
tomo_00e047,patch_140_360_504.pt,True
tomo_00e047,patch_140_432_432.pt,True
tomo_00e047,patch_40_288_0.pt,False
tomo_00e047,patch_40_360_360.pt,True
tomo_00e047,patch_40_432_360.pt,True
tomo_00e047,patch_40_504_360.pt,True
tomo_00e047,patch_40_504_432.pt,True
tomo_00e047,patch_80_288_360.pt,True
tomo_00e047,patch_80_288_504.pt,True
tomo_00e047,patch_80_360_360.pt,True
tomo_00e047,patch_80_432_504.pt,True
tomo_00e463,patch_120_0_504.pt,True
tomo_00e463,patch_120_0_576.pt,True
tomo_00e463,patch_120_144_0.pt,True
tomo_00e463,patch_120_144_72.pt,True
tomo_00e463,patch_120_216_72.pt,True
tomo_00e463,patch_120_288_0.pt,True
tomo_00e463,patch_160_0_432.pt,True
tomo_00e463,patch_160_144_432.pt,True
tomo_00e463,patch_160_360_72.pt,True
tomo_00e463,patch_160_72_504.pt,True
tomo_00e463,patch_200_0_432.pt,True
tomo_00e463,patch_200_0_576.pt,True
tomo_00e463,patch_200_144_576.pt,True
tomo_00e463,patch_200_72_504.pt,True
tomo_00e463,patch_40_288_216.pt,False
tomo_01a877,patch_120_432_144.pt,True
tomo_01a877,patch_120_504_144.pt,True
tomo_01a877,patch_120_504_72.pt,True
tomo_01a877,patch_120_576_144.pt,True
tomo_01a877,patch_140_288_432.pt,False
tomo_01a877,patch_40_576_216.pt,True
tomo_01a877,patch_80_504_144.pt,True
tomo_01a877,patch_80_576_144.pt,True
tomo_02862f,patch_0_288_0.pt,True
tomo_02862f,patch_0_288_72.pt,True
tomo_02862f,patch_120_648_0.pt,False
tomo_02862f,patch_80_216_72.pt,True
tomo_02862f,patch_80_288_0.pt,True
tomo_0308c5,patch_80_0_0.pt,False
tomo_0333fa,patch_120_216_504.pt,True
tomo_0333fa,patch_140_288_360.pt,True
tomo_0333fa,patch_140_288_432.pt,True
tomo_0333fa,patch_140_288_504.pt,True
tomo_0333fa,patch_140_504_288.pt,False
tomo_033ebe,patch_0_576_144.pt,True
tomo_033ebe,patch_0_672_72.pt,True
tomo_033ebe,patch_40_504_504.pt,False
tomo_033ebe,patch_40_576_144.pt,True
tomo_033ebe,patch_40_576_216.pt,True
tomo_033ebe,patch_40_672_144.pt,True
tomo_033ebe,patch_40_672_72.pt,True
tomo_03437b,patch_0_648_576.pt,True
tomo_03437b,patch_0_671_576.pt,True
tomo_03437b,patch_120_648_576.pt,True
tomo_03437b,patch_120_671_504.pt,True
tomo_03437b,patch_40_432_360.pt,False
tomo_03437b,patch_40_648_576.pt,True
tomo_03437b,patch_40_671_432.pt,True
tomo_0363f2,patch_0_360_360.pt,True
tomo_0363f2,patch_0_432_144.pt,True
tomo_0363f2,patch_0_432_360.pt,True
tomo_0363f2,patch_40_216_360.pt,False
tomo_040b80,patch_120_144_504.pt,False
tomo_040b80,patch_320_216_576.pt,True
tomo_040b80,patch_320_72_648.pt,True
tomo_040b80,patch_360_144_576.pt,True
tomo_040b80,patch_360_144_648.pt,True
tomo_040b80,patch_360_216_648.pt,True
tomo_040b80,patch_400_216_648.pt,True
tomo_040b80,patch_400_72_576.pt,True
tomo_049310,patch_320_636_504.pt,False
tomo_04d42b,patch_320_432_1080.pt,False
tomo_05b39c,patch_80_216_72.pt,False
tomo_05df8a,patch_0_0_640.pt,True
tomo_05df8a,patch_0_216_504.pt,True
tomo_05df8a,patch_0_216_576.pt,True
tomo_05df8a,patch_0_216_640.pt,True
tomo_05df8a,patch_140_640_640.pt,False
tomo_05df8a,patch_40_0_640.pt,True
tomo_05df8a,patch_40_144_640.pt,True
tomo_05df8a,patch_40_216_576.pt,True
tomo_05df8a,patch_80_144_504.pt,True
tomo_05df8a,patch_80_72_640.pt,True
tomo_05f919,patch_0_288_640.pt,True
tomo_05f919,patch_0_504_640.pt,True
tomo_05f919,patch_140_288_576.pt,False
tomo_05f919,patch_40_576_640.pt,True
tomo_05f919,patch_40_648_640.pt,True
tomo_05f919,patch_80_648_640.pt,True
tomo_066095,patch_0_0_432.pt,False
tomo_06e11e,patch_0_0_432.pt,True
tomo_06e11e,patch_0_72_360.pt,True
tomo_06e11e,patch_140_504_216.pt,False
tomo_06e11e,patch_40_0_432.pt,True
tomo_06e11e,patch_40_144_288.pt,True
tomo_06e11e,patch_40_72_360.pt,True
tomo_06e11e,patch_80_144_360.pt,True
tomo_06e11e,patch_80_72_288.pt,True
tomo_072a16,patch_40_432_576.pt,False
tomo_081a2d,patch_120_144_432.pt,True
tomo_081a2d,patch_120_72_576.pt,True
tomo_081a2d,patch_40_144_432.pt,True
tomo_081a2d,patch_40_216_576.pt,True
tomo_081a2d,patch_80_144_432.pt,True
tomo_081a2d,patch_80_144_504.pt,True
tomo_081a2d,patch_80_216_576.pt,True
tomo_081a2d,patch_80_504_72.pt,False
tomo_08446f,patch_120_576_0.pt,True
tomo_08446f,patch_200_636_0.pt,True
tomo_08446f,patch_40_72_360.pt,False
tomo_087d64,patch_360_288_288.pt,False
tomo_08a6d6,patch_400_144_672.pt,False
tomo_08bf73,patch_360_288_648.pt,False
tomo_098751,patch_120_144_288.pt,True
tomo_098751,patch_120_72_288.pt,True
tomo_098751,patch_160_0_72.pt,True
tomo_098751,patch_160_144_144.pt,True
tomo_098751,patch_160_216_288.pt,True
tomo_098751,patch_160_72_0.pt,True
tomo_098751,patch_160_72_288.pt,True
tomo_098751,patch_200_360_0.pt,False
tomo_098751,patch_200_72_288.pt,True
tomo_098751,patch_240_0_72.pt,True
tomo_098751,patch_280_0_0.pt,True
tomo_098751,patch_280_72_0.pt,True
tomo_0a180f,patch_160_640_576.pt,False
tomo_0a8f05,patch_0_432_432.pt,True
tomo_0a8f05,patch_0_504_432.pt,True
tomo_0a8f05,patch_0_640_288.pt,False
tomo_0c2749,patch_120_576_216.pt,False
tomo_0c3a99,patch_0_504_0.pt,True
tomo_0c3a99,patch_0_576_144.pt,True
tomo_0c3a99,patch_0_576_72.pt,True
tomo_0c3a99,patch_40_360_432.pt,False
tomo_0c3a99,patch_40_504_0.pt,True
tomo_0c3a99,patch_80_504_0.pt,True
tomo_0c3a99,patch_80_576_144.pt,True
tomo_0c3a99,patch_80_576_72.pt,True
tomo_0c3d78,patch_160_360_288.pt,False
tomo_0d4c9e,patch_0_288_72.pt,False
tomo_0da370,patch_0_144_576.pt,True
tomo_0da370,patch_0_216_504.pt,True
tomo_0da370,patch_80_576_640.pt,False
tomo_0de3ee,patch_0_0_144.pt,True
tomo_0de3ee,patch_120_432_648.pt,True
tomo_0de3ee,patch_120_504_648.pt,True
tomo_0de3ee,patch_120_576_576.pt,True
tomo_0de3ee,patch_120_576_648.pt,True
tomo_0de3ee,patch_120_640_360.pt,True
tomo_0de3ee,patch_160_432_576.pt,True
tomo_0de3ee,patch_160_576_576.pt,True
tomo_0de3ee,patch_160_640_288.pt,True
tomo_0de3ee,patch_160_640_432.pt,True
tomo_0de3ee,patch_240_0_504.pt,False
tomo_0de3ee,patch_40_72_144.pt,True
tomo_0de3ee,patch_80_0_216.pt,True
tomo_0de3ee,patch_80_504_576.pt,True
