tomo_id,patch_id,has_motor
tomo_003acc,patch_0_1248_1704.pt,False
tomo_003acc,patch_0_1488_48.pt,False
tomo_003acc,patch_0_408_624.pt,False
tomo_003acc,patch_0_48_384.pt,False
tomo_003acc,patch_0_768_1320.pt,False
tomo_003acc,patch_0_912_1320.pt,False
tomo_003acc,patch_120_120_24.pt,False
tomo_003acc,patch_120_1440_144.pt,False
tomo_003acc,patch_120_1704_1560.pt,False
tomo_003acc,patch_120_1752_96.pt,False
tomo_003acc,patch_120_384_696.pt,False
tomo_003acc,patch_120_408_720.pt,False
tomo_003acc,patch_120_528_936.pt,False
tomo_003acc,patch_120_552_240.pt,False
tomo_003acc,patch_120_600_1536.pt,False
tomo_003acc,patch_120_624_1176.pt,False
tomo_003acc,patch_120_720_432.pt,False
tomo_003acc,patch_144_1224_456.pt,False
tomo_003acc,patch_144_1248_1104.pt,False
tomo_003acc,patch_144_1800_1632.pt,False
tomo_003acc,patch_144_672_48.pt,False
tomo_003acc,patch_144_696_1632.pt,False
tomo_003acc,patch_144_816_1344.pt,False
tomo_003acc,patch_144_936_1272.pt,False
tomo_003acc,patch_144_960_1320.pt,False
tomo_003acc,patch_144_984_576.pt,False
tomo_003acc,patch_168_1200_576.pt,False
tomo_003acc,patch_168_120_816.pt,False
tomo_003acc,patch_168_1368_1488.pt,False
tomo_003acc,patch_168_1512_744.pt,False
tomo_003acc,patch_168_1560_48.pt,False
tomo_003acc,patch_168_1680_1200.pt,False
tomo_003acc,patch_168_1728_672.pt,False
tomo_003acc,patch_168_264_1512.pt,False
tomo_003acc,patch_168_288_648.pt,False
tomo_003acc,patch_168_384_72.pt,False
tomo_003acc,patch_168_528_984.pt,False
tomo_003acc,patch_168_552_1680.pt,False
tomo_003acc,patch_168_552_456.pt,False
tomo_003acc,patch_168_744_1224.pt,False
tomo_003acc,patch_168_912_1728.pt,False
tomo_003acc,patch_168_936_456.pt,False
tomo_003acc,patch_168_96_1152.pt,False
tomo_003acc,patch_192_1440_1296.pt,False
tomo_003acc,patch_192_1560_96.pt,False
tomo_003acc,patch_192_1608_1320.pt,False
tomo_003acc,patch_192_360_840.pt,False
tomo_003acc,patch_192_576_360.pt,False
tomo_003acc,patch_192_648_720.pt,False
tomo_003acc,patch_192_696_192.pt,False
tomo_003acc,patch_192_792_720.pt,False
tomo_003acc,patch_192_888_384.pt,False
tomo_003acc,patch_216_1128_1416.pt,False
tomo_003acc,patch_216_1152_1080.pt,False
tomo_003acc,patch_216_1152_888.pt,False
tomo_003acc,patch_216_1224_1392.pt,False
tomo_003acc,patch_216_168_1584.pt,False
tomo_003acc,patch_216_456_864.pt,False
tomo_003acc,patch_216_48_312.pt,False
tomo_003acc,patch_216_624_648.pt,False
tomo_003acc,patch_216_984_120.pt,False
tomo_003acc,patch_216_984_1680.pt,False
tomo_003acc,patch_216_984_72.pt,False
tomo_003acc,patch_240_1104_120.pt,False
tomo_003acc,patch_240_1152_1176.pt,False
tomo_003acc,patch_240_1344_1032.pt,False
tomo_003acc,patch_240_1368_96.pt,False
tomo_003acc,patch_240_1512_864.pt,False
tomo_003acc,patch_240_1536_864.pt,False
tomo_003acc,patch_240_1728_0.pt,False
tomo_003acc,patch_240_1776_24.pt,False
tomo_003acc,patch_240_336_1680.pt,False
tomo_003acc,patch_240_96_1272.pt,False
tomo_003acc,patch_24_1272_912.pt,False
tomo_003acc,patch_24_1320_1584.pt,False
tomo_003acc,patch_24_1320_360.pt,False
tomo_003acc,patch_24_1512_1152.pt,False
tomo_003acc,patch_24_1656_1464.pt,False
tomo_003acc,patch_24_408_696.pt,False
tomo_003acc,patch_24_432_912.pt,False
tomo_003acc,patch_24_456_1368.pt,False
tomo_003acc,patch_24_72_1248.pt,False
