prune_radius,threshold,precision,recall,f_2,tp,fp,fn
0,0.05,0.151,0.885,0.449,23,129,3
0,0.07,0.175,0.846,0.478,22,104,4
0,0.09,0.196,0.846,0.509,22,90,4
0,0.11,0.208,0.846,0.524,22,84,4
0,0.13,0.218,0.846,0.537,22,79,4
0,0.15,0.237,0.846,0.558,22,71,4
0,0.17,0.247,0.846,0.57,22,67,4
0,0.19,0.241,0.808,0.55,21,66,5
0,0.21,0.244,0.808,0.553,21,65,5
0,0.23,0.247,0.808,0.556,21,64,5
0,0.25,0.256,0.808,0.565,21,61,5
0,0.27,0.259,0.808,0.568,21,60,5
0,0.29,0.263,0.808,0.571,21,59,5
0,0.31,0.263,0.808,0.571,21,59,5
0,0.33,0.269,0.808,0.577,21,57,5
0,0.35,0.269,0.808,0.577,21,57,5
0,0.37,0.269,0.808,0.577,21,57,5
0,0.39,0.269,0.808,0.577,21,57,5
0,0.41,0.273,0.808,0.58,21,56,5
0,0.43,0.28,0.808,0.587,21,54,5
0,0.45,0.28,0.808,0.587,21,54,5
0,0.47,0.28,0.808,0.587,21,54,5
0,0.49,0.274,0.769,0.565,20,53,6
0,0.51,0.274,0.769,0.565,20,53,6
0,0.53,0.274,0.769,0.565,20,53,6
0,0.55,0.286,0.769,0.575,20,50,6
0,0.57,0.29,0.769,0.578,20,49,6
0,0.59,0.29,0.769,0.578,20,49,6
0,0.61,0.294,0.769,0.581,20,48,6
0,0.63,0.288,0.731,0.559,19,47,7
0,0.65,0.288,0.731,0.559,19,47,7
0,0.67,0.292,0.731,0.562,19,46,7
0,0.69,0.292,0.731,0.562,19,46,7
0,0.71,0.292,0.731,0.562,19,46,7
0,0.73,0.292,0.731,0.562,19,46,7
0,0.75,0.297,0.731,0.565,19,45,7
0,0.77,0.279,0.654,0.515,17,44,9
0,0.79,0.271,0.615,0.491,16,43,10
0,0.81,0.271,0.615,0.491,16,43,10
0,0.83,0.276,0.615,0.494,16,42,10
0,0.85,0.276,0.615,0.494,16,42,10
0,0.87,0.276,0.615,0.494,16,42,10
0,0.89,0.276,0.615,0.494,16,42,10
0,0.91,0.263,0.577,0.466,15,42,11
0,0.93,0.278,0.577,0.475,15,39,11
1,0.05,0.435,0.769,0.667,20,26,6
1,0.07,0.5,0.731,0.669,19,19,7
1,0.09,0.559,0.731,0.688,19,15,7
1,0.11,0.633,0.731,0.709,19,11,7
1,0.13,0.655,0.731,0.714,19,10,7
1,0.15,0.679,0.731,0.72,19,9,7
1,0.17,0.731,0.731,0.731,19,7,7
1,0.19,0.72,0.692,0.698,18,7,8
1,0.21,0.72,0.692,0.698,18,7,8
1,0.23,0.72,0.692,0.698,18,7,8
1,0.25,0.72,0.692,0.698,18,7,8
1,0.27,0.72,0.692,0.698,18,7,8
1,0.29,0.72,0.692,0.698,18,7,8
1,0.31,0.72,0.692,0.698,18,7,8
1,0.33,0.75,0.692,0.703,18,6,8
1,0.35,0.75,0.692,0.703,18,6,8
1,0.37,0.75,0.692,0.703,18,6,8
1,0.39,0.75,0.692,0.703,18,6,8
1,0.41,0.75,0.692,0.703,18,6,8
1,0.43,0.75,0.692,0.703,18,6,8
1,0.45,0.75,0.692,0.703,18,6,8
1,0.47,0.75,0.692,0.703,18,6,8
1,0.49,0.773,0.654,0.675,17,5,9
1,0.51,0.773,0.654,0.675,17,5,9
1,0.53,0.773,0.654,0.675,17,5,9
1,0.55,0.773,0.654,0.675,17,5,9
1,0.57,0.81,0.654,0.68,17,4,9
1,0.59,0.81,0.654,0.68,17,4,9
1,0.61,0.85,0.654,0.685,17,3,9
1,0.63,0.842,0.615,0.65,16,3,10
1,0.65,0.842,0.615,0.65,16,3,10
1,0.67,0.842,0.615,0.65,16,3,10
1,0.69,0.842,0.615,0.65,16,3,10
1,0.71,0.842,0.615,0.65,16,3,10
1,0.73,0.842,0.615,0.65,16,3,10
1,0.75,0.842,0.615,0.65,16,3,10
1,0.77,0.833,0.577,0.615,15,3,11
1,0.79,0.875,0.538,0.583,14,2,12
1,0.81,0.875,0.538,0.583,14,2,12
1,0.83,0.875,0.538,0.583,14,2,12
1,0.85,0.875,0.538,0.583,14,2,12
1,0.87,0.875,0.538,0.583,14,2,12
1,0.89,0.875,0.538,0.583,14,2,12
1,0.91,0.867,0.5,0.546,13,2,13
1,0.93,0.929,0.5,0.551,13,1,13
2,0.05,0.435,0.769,0.667,20,26,6
2,0.07,0.5,0.731,0.669,19,19,7
2,0.09,0.559,0.731,0.688,19,15,7
2,0.11,0.633,0.731,0.709,19,11,7
2,0.13,0.655,0.731,0.714,19,10,7
2,0.15,0.679,0.731,0.72,19,9,7
2,0.17,0.731,0.731,0.731,19,7,7
2,0.19,0.72,0.692,0.698,18,7,8
2,0.21,0.72,0.692,0.698,18,7,8
2,0.23,0.72,0.692,0.698,18,7,8
2,0.25,0.72,0.692,0.698,18,7,8
2,0.27,0.72,0.692,0.698,18,7,8
2,0.29,0.72,0.692,0.698,18,7,8
2,0.31,0.72,0.692,0.698,18,7,8
2,0.33,0.75,0.692,0.703,18,6,8
2,0.35,0.75,0.692,0.703,18,6,8
2,0.37,0.75,0.692,0.703,18,6,8
2,0.39,0.75,0.692,0.703,18,6,8
2,0.41,0.75,0.692,0.703,18,6,8
2,0.43,0.75,0.692,0.703,18,6,8
2,0.45,0.75,0.692,0.703,18,6,8
2,0.47,0.75,0.692,0.703,18,6,8
2,0.49,0.773,0.654,0.675,17,5,9
2,0.51,0.773,0.654,0.675,17,5,9
2,0.53,0.773,0.654,0.675,17,5,9
2,0.55,0.773,0.654,0.675,17,5,9
