epoch,train_conf_loss,val_conf_loss
0,4.298387,0.0
1,3.371753,0.0
2,3.040543,0.0
3,2.849863,0.0
4,2.720168,0.0
5,2.587768,0.0
6,2.474055,0.0
7,2.353363,0.0
8,2.241257,0.0
9,2.14655,0.0
10,2.033933,0.0
11,1.930341,0.0
12,1.824987,0.0
13,1.734334,0.0
14,1.639964,0.0
15,1.543875,0.0
16,1.466637,0.0
17,1.38204,0.0
18,1.306167,0.0
19,1.234964,0.0
20,1.162847,0.0
21,1.109854,0.0
22,1.046858,0.0
0,1.016043,0.0
1,1.00167,0.0
2,0.970357,0.0
3,0.950817,0.0
4,0.877934,0.0
5,0.804702,0.0
6,0.742027,0.0
7,0.682254,0.0
0,0.651974,0.0
1,0.640962,0.0
2,0.619853,0.0
3,0.585987,0.0
4,0.547587,0.0
5,0.508953,0.0
6,0.468813,0.0
7,0.426187,0.0
8,0.394561,0.0
9,0.367842,0.0
10,0.33842,0.0
11,0.310299,0.0
12,0.294176,0.0
13,0.274934,0.0
14,0.254218,0.0
15,0.23534,0.0
16,0.223544,0.0
17,0.208051,0.0
18,0.197758,0.0
19,0.187576,0.0
20,0.178628,0.0
21,0.170393,0.0
22,0.166533,0.0
23,0.160218,0.0
24,0.151452,0.0
25,0.142289,0.0
26,0.140727,0.0
27,0.134869,0.0
28,0.13074,0.0
29,0.126182,0.0
30,0.122587,0.0
31,0.116557,0.0
32,0.115296,0.0
33,0.111937,0.0
34,0.112505,0.0
35,0.112448,0.0
36,0.111292,0.0
37,0.111894,0.0
38,0.109674,0.0
39,0.108586,0.0
0,0.109585,0.0
1,0.108421,0.0
2,0.11006,0.0
3,0.104415,0.0
4,0.094572,0.0
5,0.084985,0.0
6,0.076095,0.0
7,0.074258,0.0
8,0.070533,0.0
9,0.071473,0.0
10,0.078287,0.0
11,0.075286,0.0
12,0.062546,0.0
13,0.058236,0.0
0,0.054023,0.0
1,0.053439,0.0
2,0.051513,0.0
3,0.049249,0.0
4,0.047079,0.0
5,0.043933,0.0
6,0.04124,0.0
7,0.041101,0.0
8,0.038804,0.0
9,0.036454,0.0
10,0.034987,0.0
11,0.034249,0.0
12,0.03365,0.0
13,0.033404,0.0
0,0.034715,0.0
1,0.034828,0.0
2,0.037297,0.0
3,0.033754,0.0
0,2.438866,0.0
1,0.150227,0.0
2,0.062402,0.0
3,0.046136,0.0
4,0.029381,0.0
5,0.023303,0.0
