epoch,train_conf_loss,val_conf_loss
0,3.868188,0.0
1,1.209115,0.0
2,0.261629,0.0
3,0.176624,0.0
4,0.147316,0.0
5,0.132961,0.0
6,0.125929,0.0
7,0.121139,0.0
8,0.116198,0.0
9,0.11329,0.0
10,0.10758,0.0
11,0.104314,0.0
12,0.101819,0.0
13,0.098214,0.0
14,0.092964,0.0
15,0.092201,0.0
16,0.093078,0.0
17,0.096757,0.0
18,0.09189,0.0
19,0.087496,0.0
20,0.101427,0.0
21,0.096883,0.0
22,0.069543,0.0
23,0.058276,0.0
24,0.052741,0.0
25,0.052139,0.0
26,0.052218,0.0
27,0.051771,0.0
28,0.05045,0.0
29,0.049401,0.0
30,0.049175,0.0
31,0.04851,0.0
32,0.048559,0.0
33,0.048586,0.0
34,0.048888,0.0
35,0.047823,0.0
36,0.048373,0.0
37,0.047144,0.0
38,0.048215,0.0
39,0.050929,0.0
40,0.043408,0.0
41,0.047914,0.0
42,0.049243,0.0
43,0.049779,0.0
44,0.050609,0.0
