epoch,train_regression_loss,val_regression_loss,train_conf_loss,val_conf_loss,train_total_loss,val_total_loss
0,10.710139,0.0,0.076395,0.0,10.786534,0.0
1,9.08574,0.0,0.079582,0.0,9.165322,0.0
2,9.707526,0.0,0.074564,0.0,9.78209,0.0
3,9.10575,0.0,0.072704,0.0,9.178454,0.0
4,9.778475,0.0,0.071559,0.0,9.850035,0.0
0,10.109184,0.0,0.081291,0.0,10.190475,0.0
0,8.978322,0.0,0.065075,0.0,9.043397,0.0
1,8.322453,0.0,0.060165,0.0,8.382618,0.0
2,8.096982,0.0,0.060447,0.0,8.157429,0.0
3,7.656559,0.0,0.054226,0.0,7.710784,0.0
4,7.246403,0.0,0.052164,0.0,7.298567,0.0
5,6.960111,0.0,0.05275,0.0,7.012862,0.0
6,7.039689,0.0,0.049808,0.0,7.089497,0.0
7,7.02207,0.0,0.04978,0.0,7.07185,0.0
8,6.569878,0.0,0.047285,0.0,6.617162,0.0
9,6.430626,0.0,0.043535,0.0,6.474161,0.0
10,6.137975,0.0,0.04403,0.0,6.182006,0.0
11,5.989275,0.0,0.040423,0.0,6.029698,0.0
12,6.209582,0.0,0.03801,0.0,6.247593,0.0
0,8.319792,0.0,0.055896,0.0,8.375688,0.0
1,7.487559,0.0,0.054618,0.0,7.542177,0.0
2,6.303521,0.0,0.050558,0.0,6.354079,0.0
3,6.082939,0.0,0.046687,0.0,6.129627,0.0
4,5.684284,0.0,0.045691,0.0,5.729974,0.0
5,5.381759,0.0,0.041918,0.0,5.423677,0.0
6,4.85625,0.0,0.043136,0.0,4.899387,0.0
7,4.596127,0.0,0.035741,0.0,4.631868,0.0
8,4.469776,0.0,0.033822,0.0,4.503598,0.0
9,4.068044,0.0,0.030047,0.0,4.098091,0.0
10,3.912397,0.0,0.029941,0.0,3.942339,0.0
11,3.838269,0.0,0.028067,0.0,3.866335,0.0
12,3.755514,0.0,0.02792,0.0,3.783434,0.0
